GEBIETS_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adliswil,319332.0,-1219798.0,-2473458.0,13074084.0,6330146.0,-5863116.0,144627.0,-4565596.0,-5338432.0,-1147875.0,470115.0,11590880.0,-5130960.0,-4989099.0,-10632299.0,-11485699.0,-7219193.0,4856312.0,6813628.0,1712020.0,1529095.0,9418585.0,8717968.0,2599304.0,3921815.0,3737387.0,1015319.0,12068441.0,2749371.0
Horgen,1052827.0,-4659837.0,-4156119.0,-2482936.0,-2281641.0,-3981094.0,2464465.0,467803.0,3378897.0,7243630.0,6323524.0,2070552.0,1208864.0,-11403402.0,-941433.0,13044003.0,3975259.0,11000154.0,-3860133.0,546444.0,9011346.0,4842004.0,3134450.0,-3599025.0,-6809406.0,4730205.0,26295058.0,13575134.0,-9333122.0
Kilchberg,-699934.0,-644693.0,28808.0,-130443.0,882050.0,5886165.0,1634480.0,-3670052.0,5420445.0,6018434.0,9794995.0,9509467.0,3166932.0,-5142606.0,-304330.0,4782329.0,5752833.0,2367465.0,3157724.0,-72203.0,9396171.0,8225423.0,-5960741.0,137268.0,-3521259.0,-2030135.0,15860672.0,4410405.0,-15727794.0
Langnau,1396626.0,-1404765.0,-2351166.0,840658.0,-329085.0,-925071.0,662971.0,-131255.0,1528450.0,923931.0,2249867.0,1293591.0,650620.0,268930.0,43382.0,1680608.0,-5755449.0,2621014.0,-268101.0,2241835.0,11572087.0,-714608.0,-2407588.0,1033961.0,-2847827.0,-1190398.0,-1137808.0,-1213087.0,-674434.0
Oberrieden,1296423.0,1593860.0,1284239.0,500511.0,2819685.0,754851.0,-182586.0,1089186.0,1687344.0,308406.0,3283733.0,-590248.0,2865615.0,639743.0,-1789908.0,-587260.0,-225073.0,-451650.0,601555.0,-697063.0,1918797.0,-7184934.0,-842027.0,-755795.0,-859391.0,-2253356.0,-1693881.0,-2817545.0,-87867.0
Richterswil,133907.0,-1389359.0,2021991.0,-1050729.0,7847356.0,2559775.0,445489.0,-953082.0,1853137.0,4630909.0,5254686.0,-3375981.0,2453345.0,1285178.0,-473320.0,1898688.0,-1816200.0,2276073.0,-822945.0,2287017.0,-3984485.0,-4070365.0,472083.0,7476859.0,2353170.0,-3424841.0,4038506.0,10139168.0,5192213.0
Rüschlikon,1490489.0,-3159114.0,-2983186.0,2641271.0,32737.0,1698436.0,-2807290.0,-2792678.0,2981371.0,5618345.0,3013772.0,5489341.0,-1554332.0,2981643.0,-1502057.0,-8037773.0,-2404644.0,-3764800.0,-5830487.0,6090671.0,7298397.0,-14507352.0,5627803.0,720630.0,-4535073.0,-3874719.0,8263201.0,26789378.0,17376932.0
Thalwil,3334595.0,2128874.0,-786545.0,4911646.0,-428716.0,6561388.0,-1723206.0,2846715.0,-760160.0,5224826.0,2645744.0,-842940.0,104757.0,-210667.0,-4307309.0,-2355825.0,-1523279.0,6726657.0,3497703.0,-41496.0,-8962536.0,8339865.0,-1660431.0,-3648046.0,-9425930.0,-12926468.0,2693441.0,11684359.0,7410797.0
Wädenswil,-3149162.0,-5153598.0,-1774278.0,-4031571.0,5082468.0,5005572.0,1908533.0,-2842532.0,540533.0,5652580.0,5780948.0,-658518.0,6734189.0,7907957.0,-1111135.0,-2520676.0,2809925.0,4171455.0,2889232.0,7392498.0,-428857.0,-3352088.0,-4949992.0,11957627.0,-7246648.0,-6802338.0,-424436.0,2884330.0,-950585.0
